Race                                                       Pool - CMGC                                                                                                                Granted                                                                               Participated
4                                                          T-T                                                                                                                        No                                                                                    No
5                                                          WIN                                                                                                                        Yes                                                                                   No
5                                                          PLA                                                                                                                        Yes                                                                                   No
5                                                          QIN                                                                                                                        Yes                                                                                   No
5                                                          QPL                                                                                                                        Yes                                                                                   No
5                                                          FCT                                                                                                                        No                                                                                    No
5                                                          TRI                                                                                                                        No                                                                                    No
5                                                          TCE                                                                                                                        No                                                                                    No
5                                                          DBL                                                                                                                        No                                                                                    No
5                                                          D-T                                                                                                                        No                                                                                    No
5                                                          6UP                                                                                                                        No                                                                                    No
6                                                          WIN                                                                                                                        Yes                                                                                   No
6                                                          PLA                                                                                                                        Yes                                                                                   No
6                                                          QIN                                                                                                                        Yes                                                                                   No
6                                                          QPL                                                                                                                        Yes                                                                                   No
6                                                          FCT                                                                                                                        No                                                                                    No
6                                                          TRI                                                                                                                        No                                                                                    No
6                                                          TCE                                                                                                                        No                                                                                    No
6                                                          DBL                                                                                                                        No                                                                                    No
7                                                          WIN                                                                                                                        Yes                                                                                   No
7                                                          PLA                                                                                                                        Yes                                                                                   No
7                                                          QIN                                                                                                                        Yes                                                                                   No
7                                                          QPL                                                                                                                        Yes                                                                                   No
7                                                          FCT                                                                                                                        No                                                                                    No
7                                                          TRI                                                                                                                        No                                                                                    No
7                                                          TCE                                                                                                                        No                                                                                    No
7                                                          DBL                                                                                                                        No                                                                                    No
7                                                          D-T                                                                                                                        No                                                                                    No
8                                                          WIN                                                                                                                        Yes                                                                                   No
8                                                          PLA                                                                                                                        Yes                                                                                   No
8                                                          QIN                                                                                                                        Yes                                                                                   No
8                                                          QPL                                                                                                                        Yes                                                                                   No
8                                                          FCT                                                                                                                        No                                                                                    No
8                                                          TRI                                                                                                                        No                                                                                    No
8                                                          TCE                                                                                                                        No                                                                                    No
8                                                          DBL                                                                                                                        No                                                                                    No
8                                                          TBL                                                                                                                        No                                                                                    No
9                                                          WIN                                                                                                                        Yes                                                                                   No
9                                                          PLA                                                                                                                        Yes                                                                                   No
